movie_id,title,year,runtime,vote_average,vote_count,budget,revenue,original_language,decade
315,"Faster, Pussycat! Kill! Kill!",1965,83,6.3,367,45000.0,36122.0,en,1960
31522,A Woman Is a Woman,1961,83,7.3,406,160000.0,100655.0,fr,1960
315635,Spider-Man: Homecoming,2017,133,7.331,23396,175000000.0,880978185.0,en,2010
3175,Barry Lyndon,1975,188,8.0,3225,11000000.0,31500000.0,en,1970
318846,The Big Short,2015,131,7.368,9936,28000000.0,133346506.0,en,2010
319,True Romance,1993,121,7.542,3115,12500000.0,12600000.0,en,1990
321612,Beauty and the Beast,2017,129,6.967,16081,160000000.0,1266115964.0,en,2010
322,Mystic River,2003,138,7.745,7558,25000000.0,156800000.0,en,2000
324552,John Wick: Chapter 2,2017,122,7.342,14416,40000000.0,171539887.0,en,2010
324786,Hacksaw Ridge,2016,139,8.193,15038,40000000.0,175302354.0,en,2010
324857,Spider-Man: Into the Spider-Verse,2018,117,8.393,17484,90000000.0,394884133.0,en,2010
32657,Percy Jackson & the Olympians: The Lightning Thief,2010,118,6.216,7878,95000000.0,226497209.0,en,2010
329,Jurassic Park,1993,127,7.975,18091,63000000.0,920100000.0,en,1990
329865,Arrival,2016,116,7.631,19584,47000000.0,203388186.0,en,2010
33,Unforgiven,1992,130,7.914,5019,14400000.0,159157447.0,en,1990
330,The Lost World: Jurassic Park,1997,129,6.568,9338,73000000.0,618638999.0,en,1990
330457,Frozen II,2019,103,7.229,10360,150000000.0,1453683476.0,en,2010
330459,Rogue One: A Star Wars Story,2016,133,7.509,16550,200000000.0,1056057273.0,en,2010
331,Jurassic Park III,2001,92,6.178,7951,93000000.0,368780809.0,en,2000
332562,A Star Is Born,2018,136,7.492,12287,36000000.0,436388866.0,en,2010
333339,Ready Player One,2018,140,7.589,17121,175000000.0,607274134.0,en,2010
335,Once Upon a Time in the West,1968,166,8.3,4965,5000000.0,5380118.0,it,1960
335983,Venom,2018,112,6.825,17375,116000000.0,856085151.0,en,2010
335984,Blade Runner 2049,2017,164,7.6,15364,150000000.0,259239658.0,en,2010
336,"Duck, You Sucker",1971,157,7.67,1197,,,it,1970
33701,French Fried Vacation 2,1979,87,7.35,1272,,,fr,1970
337401,Mulan,2020,115,6.823,7097,200000000.0,69965374.0,en,2020
338762,Bloodshot,2020,110,6.677,5295,42000000.0,39861118.0,en,2020
338952,Fantastic Beasts: The Crimes of Grindelwald,2018,134,6.833,11553,200000000.0,654900000.0,en,2010
339403,Baby Driver,2017,113,7.4,16978,34000000.0,226945087.0,en,2010
343,Harold and Maude,1971,92,7.589,1223,1200000.0,,en,1970
